Label,KPR,KPRW,DPR,DPRW,RWK,RWMK,PRR,SBTPR,TDPR,TDP,ODTP,ASPR,SR,STPR,TKPR,TKP,AKP,DPK,OKPR,ODPR,OA,OS,WAOK,ATPR,CPPR,LAP,WP1V1,TAPR,SPRL,SKPR,SKP,RWSKP,SMKR,SOKPR,UDPR,UKPR100,FTPR,FAPR,TOFPR
1,0.71,1.03,80.6,107.6,0.479,0.177,1.1,0.09,0.12,0.165,0.204,0.2,0.179,0.1,0.14,0.196,0.267,113,0.1,0.09,0.184,0.518,0.656,2.93,0.02,0.113,0.56,60,0.033,0,0.004,0.002,0,0,3.13,0.35,0.33,0.01,1.61
1,0.68,0.96,76.4,101.6,0.462,0.164,1.02,0.08,0.12,0.178,0.206,0.18,0.182,0.08,0.1,0.143,0.215,113,0.12,0.13,0.254,0.472,0.69,2.76,0.03,0.105,0.623,62,0.058,0.01,0.02,0.012,0.004,0.002,4.52,0.64,0.57,0.03,1.74
0,0.63,0.83,69.5,85.3,0.443,0.144,0.99,0.08,0.11,0.182,0.216,0.17,0.236,0.09,0.11,0.179,0.261,110,0.08,0.08,0.167,0.491,0.75,2.55,0.03,0.099,0.651,69,0.097,0.01,0.014,0.006,0.002,0.002,3.12,0.67,0.52,0.03,1.75
1,0.68,0.92,74.8,95.9,0.461,0.164,1.12,0.14,0.18,0.274,0.334,0.22,0.218,0.12,0.13,0.191,0.269,110,0.13,0.13,0.257,0.495,0.783,2.84,0.02,0.069,0.651,69,0.07,0,0.003,0.002,0.0004,0,4.97,0.71,0.62,0.03,1.75
0,0.68,0.95,76.4,102,0.461,0.16,1.19,0.1,0.13,0.183,0.185,0.2,0.174,0.1,0.11,0.164,0.235,113,0.12,0.14,0.253,0.466,0.674,2.6,0.02,0.079,0.556,56,0.052,0,0.004,0.002,0.0004,0,3.18,0.44,0.36,0.02,1.78
0,0.64,0.94,71.2,95.5,0.443,0.149,1.07,0.11,0.13,0.193,0.239,0.17,0.204,0.11,0.15,0.23,0.281,111,0.07,0.07,0.143,0.483,0.738,2.84,0.02,0.139,0.5,66,0.065,0.01,0.009,0.005,0.002,0.0004,3.9,0.74,0.48,0.03,1.78
1,0.69,0.96,79.5,103,0.48,0.164,1.13,0.1,0.13,0.19,0.259,0.26,0.197,0.1,0.13,0.193,0.293,115,0.1,0.11,0.203,0.481,0.742,3.19,0.01,0.086,0.536,59,0.051,0.01,0.01,0.005,0.001,0.0004,6.72,1.19,0.36,0.02,1.79
0,0.62,0.83,66.6,85.2,0.432,0.147,0.99,0.12,0.16,0.243,0.345,0.17,0.223,0.11,0.14,0.229,0.288,108,0.08,0.09,0.177,0.471,0.733,2.33,0.02,0.097,0.629,64,0.079,0,0.007,0.003,0.0007,0.0002,3.44,0.68,0.29,0.02,1.8
0,0.65,0.9,71.9,93.4,0.461,0.151,0.94,0.11,0.14,0.207,0.297,0.17,0.197,0.13,0.15,0.232,0.272,110,0.09,0.09,0.179,0.483,0.699,2.68,0.01,0.098,0.387,64,0.073,0,0.004,0.003,0,0,3.23,0.5,0.45,0.02,1.8
1,0.68,0.93,74.5,95.9,0.466,0.16,1.13,0.11,0.16,0.239,0.262,0.19,0.211,0.1,0.13,0.198,0.269,110,0.1,0.11,0.212,0.481,0.732,2.77,0.01,0.069,0.562,66,0.081,0.01,0.011,0.007,0.001,0.001,4.63,0.74,0.5,0.03,1.81
0,0.67,0.96,76,101.7,0.453,0.167,1.17,0.1,0.14,0.194,0.218,0.19,0.178,0.1,0.13,0.19,0.236,113,0.1,0.11,0.213,0.463,0.742,2.8,0.02,0.07,0.581,59,0.037,0,0.006,0.002,0.0005,0.0005,3.37,0.49,0.35,0.02,1.82
0,0.67,0.9,75.3,95.3,0.466,0.157,0.85,0.09,0.13,0.189,0.344,0.19,0.195,0.13,0.18,0.263,0.307,113,0.06,0.07,0.127,0.458,0.77,2.94,0.03,0.161,0.6,60,0.043,0.01,0.019,0.009,0.002,0.002,4.81,0.69,0.55,0.03,1.83
